Date,SPY,WFC,JPM
3262010,105.29,27.92,40.12
3292010,105.96,27.81,39.98
3302010,106.03,27.58,39.73
3312010,105.67,27.83,39.88
4012010,106.4,28.06,40.31
4052010,107.26,28.18,40.45
4062010,107.52,28.87,40.9
4072010,106.9,28.61,40.44
4082010,107.27,28.83,40.83
4092010,107.98,28.89,41.02
4122010,108.15,29,41.17
4132010,108.23,28.75,40.93
4142010,109.46,29.76,42.59
4152010,109.55,29.97,42.66
4162010,107.8,29.12,40.64
4192010,108.21,29.53,40.5
4202010,109.18,30.13,40.94
4212010,108.98,29.52,40.46
4222010,109.3,30.03,39.92
4232010,110.02,29.94,40.1
4262010,109.6,29.26,39.16
4272010,107.01,28.37,37.84
4282010,107.82,29.02,38.78
4292010,109.16,29.72,39.26
4302010,107.31,29.61,37.99
5032010,108.7,30.3,38.84
5042010,106.14,29.46,37.89
5052010,105.51,29.25,38.04
5062010,102.01,27.93,36.41
5072010,100.49,27.61,36.37
5102010,104.91,29.53,37.43
5112010,104.62,29.48,37.07
5122010,106.08,30.15,37.2
5132010,104.76,29.63,36.41
5142010,102.86,28.7,35.59
5172010,102.92,28.64,35.55
5182010,101.52,27.4,34.81
5192010,100.94,26.94,35.14
5202010,97.13,25.7,33.75
5212010,98.55,26.97,35.73
5242010,97.28,25.72,34.46
5252010,97.38,25.89,34.74
5262010,96.79,25.12,34.6
5272010,100.04,26.34,36.06
5282010,98.78,25.7,35.31
6012010,97.12,25.29,34.39
6022010,99.65,26.14,35.29
6032010,99.99,25.85,34.89
6042010,96.48,24.88,33.57
6072010,95.28,24.44,32.76
6082010,96.3,24.87,33.71
6092010,95.78,24.21,33.12
6102010,98.58,25.2,34.16
6112010,99.06,24.94,33.98
6142010,98.91,24.54,33.31
6152010,101.16,25,34.13
6162010,101.12,25.19,34.37
6172010,101.28,25.02,34.3
6182010,101.39,25.14,34.96
6212010,101.1,25.03,34.68
6222010,99.43,24.6,34.2
6232010,99.12,24.47,34.7
6242010,97.48,24.06,33.93
6252010,97.89,24.23,35.19
6282010,97.58,24.21,34.39
6292010,94.57,23.23,33.07
6302010,93.67,22.93,32.66
7012010,93.25,22.55,32.24
7022010,92.75,22.29,32.01
7062010,93.35,22.53,32.46
7072010,96.29,23.88,34.08
7082010,97.25,23.86,34.09
7092010,97.97,24.18,34.71
7122010,98.04,24.24,35.01
7132010,99.51,25.03,36.17
7142010,99.51,24.78,36.05
7152010,99.53,24.91,36.15
7162010,96.79,23.5,34.84
7192010,97.36,23.31,34.88
7202010,98.44,23.21,35.41
7212010,97.16,23.34,34.33
7222010,99.33,24.53,35.16
7232010,100.2,24.56,35.59
7262010,101.24,25,36.03
7272010,101.23,25.43,36.35
7282010,100.58,25.14,36.02
7292010,100.09,24.8,35.93
7302010,100.07,24.84,35.99
8022010,102.33,25.59,37.2
8032010,101.84,25.19,36.7
8042010,102.52,25.06,36.89
8052010,102.41,25.02,36.87
8062010,101.99,24.9,36.13
8092010,102.54,25.33,35.58
8102010,101.98,24.92,35
8112010,99.19,23.6,33.75
8122010,98.58,23.33,33.78
8132010,98.29,23.19,33.5
8162010,98.24,23.04,33.67
8172010,99.45,22.74,33.49
8182010,99.63,22.77,33.85
8192010,97.9,21.92,33.12
8202010,97.58,22.07,33.18
8232010,97.21,21.74,32.95
8242010,95.77,21.21,32.35
8252010,96.14,21.18,32.37
8262010,95.49,21.08,31.83
8272010,96.97,21.54,32.7
8302010,95.57,20.86,32.03
8312010,95.57,21.13,32.49
9012010,98.43,22.13,33.72
9022010,99.34,22.52,34.09
9032010,100.63,23.19,35
9072010,99.5,22.36,34.2
9082010,100.2,22.63,34.95
9092010,100.66,23.05,35.83
9102010,101.17,23.11,35.52
9132010,102.29,23.78,36.74
9142010,102.23,23.38,36.38
9152010,102.62,23.64,36.61
9162010,102.59,23.38,36.62
9172010,102.63,23.34,35.79
9202010,104.2,23.83,36.8
9212010,103.99,23.67,36.26
9222010,103.48,23.16,35.68
9232010,102.64,22.47,34.93
9242010,104.76,22.96,35.51
9272010,104.25,22.91,34.92
9282010,104.62,22.75,34.8
9292010,104.44,22.47,34.32
9302010,104.13,22.54,34
10012010,104.56,22.94,34.67
10042010,103.78,22.77,34.84
10052010,105.87,23.55,35.46
10062010,105.86,23.6,35.69
10072010,105.73,23.33,35.35
10082010,106.32,23.29,35.17
10112010,106.42,23.02,35.54
10122010,106.75,23.31,36.14
10132010,107.58,23.16,35.64
10142010,107.16,22.18,34.64
10152010,107.38,21.16,33.23
10182010,107.91,22.32,34.17
10192010,106.5,22.03,33.72
10202010,107.54,22.97,34.08
10212010,107.78,23.36,33.73
10222010,107.98,23.43,33.73
10252010,108.3,23.08,33.16
10262010,108.31,23.25,33.28
10272010,108,23.11,33.58
10282010,108.02,23.28,33.56
10292010,108.1,23.38,33.66
11012010,108.14,23.27,33.48
11022010,109,23.3,33.06
11032010,109.44,23.79,33.74
11042010,111.54,24.69,35.6
11052010,111.96,26.27,36.62
11082010,111.75,26.11,36.24
11092010,110.95,25.29,35.69
11102010,111.4,25.7,36.34
11112010,110.98,25.34,35.8
11122010,109.66,24.76,35.43
11152010,109.51,24.86,35.86
11162010,107.8,24.45,35.43
11172010,107.86,24.15,35.05
11182010,109.44,24.73,35.48
11192010,109.75,24.72,35.26
11222010,109.65,24.23,34.45
11232010,108.07,24.09,33.66
11242010,109.66,24.37,34.14
11262010,108.39,23.96,33.55
11292010,108.71,24.45,33.91
11302010,108.1,24.46,33.46
12012010,110.4,24.75,34.13
12022010,111.82,25.87,35.17
12032010,112.12,26.12,35.43
12062010,112,25.84,35.69
12072010,112.06,25.6,35.11
12082010,112.47,26.41,36.02
12092010,112.91,27.03,36.51
12102010,113.57,27.21,37.06
12132010,113.64,27.17,37.13
12142010,113.74,26.81,36.49
12152010,113.22,26.78,35.97
12162010,113.88,26.99,35.79
12172010,114,26.94,35.49
12202010,114.28,27.06,35.74
12212010,115,27.71,36.68
12222010,115.36,28.15,37.72
12232010,115.19,27.86,37.64
12272010,115.24,28.06,38.17
12282010,115.4,28.05,38.12
12292010,115.49,27.89,37.89
12302010,115.3,27.71,37.78
12312010,115.33,27.86,37.95
1032011,116.52,28.39,38.99
1042011,116.46,28.46,39.55
1052011,117.06,29.1,40.03
1062011,116.83,28.9,39.84
1072011,116.61,28.32,39.08
1102011,116.46,28.05,38.87
1112011,116.87,28.23,39.05
1122011,117.93,28.78,40.04
1132011,117.73,28.67,39.81
1142011,118.59,29.44,40.22
1182011,118.79,29.21,40.08
1192011,117.62,28.6,39.15
1202011,117.47,28.67,40.08
1212011,117.73,29.23,40.56
1242011,118.4,29.4,40.32
1252011,118.47,29.4,40.19
1262011,118.93,29.17,40.29
1272011,119.22,29.22,40.39
1282011,117.14,28.63,39.89
1312011,118.02,29.15,40.25
2012011,119.91,30.06,41.14
2022011,119.68,29.46,40.71
2032011,119.94,29.49,40.71
2042011,120.28,29.5,39.94
2072011,121.04,30,40.75
2082011,121.59,30.7,40.97
2092011,121.31,29.83,40.4
2102011,121.36,29.71,40.78
2112011,122.08,30.4,41.71
2142011,122.37,30.5,41.68
2152011,121.99,30.33,41.93
2162011,122.76,29.98,42.94
2172011,123.13,29.67,42.83
2182011,123.38,29.39,42.99
2222011,120.91,28.25,41.21
2232011,120.16,28.36,41.16
2242011,120.08,28.31,41.12
2252011,121.37,29.17,41.81
2282011,122.12,29.05,41.82
3012011,120.08,28.5,40.84
3022011,120.34,28.41,40.49
3032011,122.41,29.18,41.27
3042011,121.49,28.73,40.77
3072011,120.54,28.56,40.47
3082011,121.59,29.27,41.56
3092011,121.42,29.53,41.7
3102011,119.17,28.87,40.78
3112011,120,29.16,40.97
3142011,119.27,28.9,40.57
3152011,117.91,29.06,39.95
3162011,115.73,28.12,39.24
3172011,117.26,28.24,39.91
3182011,117.68,28.66,40.97
3212011,119.51,28.7,40.87
3222011,119.09,28.37,40.72
3232011,119.43,28.32,40.84
3242011,120.58,28.46,40.96
3252011,120.94,28.82,41.07
3282011,120.65,28.53,41.16
3292011,121.46,28.51,41.22
3302011,122.3,28.8,41.6
3312011,122.13,28.62,41.29
4012011,122.65,28.93,41.51
4042011,122.75,28.7,41.73
4052011,122.73,28.87,41.94
4062011,123.12,29.24,42.9
4072011,122.8,29.03,42.68
4082011,122.38,28.53,42.18
4112011,122.01,28.34,42.2
4122011,121.1,28.34,42
4132011,121.09,27.69,41.65
4142011,121.18,27.21,40.49
4152011,121.63,26.97,40.42
4182011,120.26,26.64,39.59
4192011,120.95,27.14,40.21
4202011,122.6,26.02,40.13
4212011,123.23,25.75,40.23
4252011,123.1,25.77,40.17
4262011,124.16,26.05,40.63
4272011,124.97,26.41,40.97
4282011,125.37,26.41,41.29
4292011,125.67,26.27,41.09
5022011,125.48,26.29,40.68
5032011,125.02,26.63,41.35
5042011,124.2,26.08,40.97
5052011,123.07,25.49,40.67
5062011,123.62,25.6,40.56
5092011,124.09,25.56,40.49
5102011,125.15,25.85,40.67
5112011,123.84,25.52,39.83
5122011,124.43,25.58,39.7
5132011,123.47,25.31,38.86
5162011,122.68,25.24,38.61
5172011,122.67,26.05,39.45
5182011,123.76,26.2,39.69
5192011,124.06,25.92,39.62
5202011,123.07,25.37,38.84
5232011,121.64,24.94,38.32
5242011,121.54,25.04,38.13
5252011,121.95,24.97,38.06
5262011,122.51,25.1,38.23
5272011,122.98,25.5,38.53
5312011,124.26,25.71,38.94
6012011,121.47,24.41,37.6
6022011,121.34,24.61,37.47
6032011,120.13,24.34,37.43
6062011,118.86,23.79,36.5
6072011,118.79,23.35,36.67
6082011,118.29,22.98,36.37
6092011,119.19,23.76,36.9
6102011,117.54,23.81,36.96
6132011,117.63,24.37,37.52
6142011,119.12,24.48,37.47
6152011,117,24.06,36.63
6162011,117.26,24.28,36.34
6172011,117.61,24.76,36.74
6202011,118.21,24.42,36.45
6212011,119.83,24.88,36.84
6222011,119.11,24.8,36.64
6232011,118.77,24.5,36.08
6242011,117.39,24.7,35.56
6272011,118.43,24.87,35.91
6282011,119.98,24.91,35.6
6292011,121.01,25.43,36.42
6302011,122.16,25.43,36.87
7012011,123.97,25.98,37.67
7052011,123.87,25.75,37.17
7062011,124.02,25.48,36.75
7072011,125.3,25.97,37.44
7082011,124.41,25.64,36.91
7112011,122.16,25,35.72
7122011,121.64,24.82,35.69
7132011,122.04,24.94,35.9
7142011,121.2,24.72,36.56
7152011,121.9,24.63,36.22
7182011,120.9,24.36,36.09
7192011,122.87,25.74,36.59
7202011,122.79,26,37.11
7212011,124.5,26.62,38.32
7222011,124.58,26.4,38.22
7252011,123.89,26.23,37.77
7262011,123.42,26.25,37.55
7272011,120.9,25.9,36.85
7282011,120.54,25.64,36.86
7292011,119.72,25.32,36.65
8012011,119.21,25.31,36.64
8022011,116.17,24.63,36.1
8032011,116.79,24.85,36.15
8042011,111.32,23.43,34.36
8052011,111.16,22.94,34.07
8082011,103.92,20.87,30.86
8092011,108.75,22.55,32.98
8102011,103.95,20.82,31.14
8112011,108.61,22.11,33.24
8122011,109.34,21.96,32.53
8152011,111.66,22.77,33.41
8162011,110.7,22.34,32.64
8172011,110.78,22.64,33.13
8182011,106,21.59,31.88
8192011,104.27,21.26,31.12
8222011,104.35,20.83,30.27
8232011,107.79,21.79,31.51
8242011,109.31,22.23,32.46
8252011,107.64,22.53,32.36
8262011,109.2,22.38,32.81
8292011,112.34,23.14,34.1
8302011,112.64,23.12,33.58
8312011,113.14,23.75,34.03
9012011,111.95,22.96,32.89
9022011,109.09,22.02,31.38
9062011,108.3,21.77,30.3
9072011,111.35,22.72,31.55
9082011,110.19,22.21,30.36
9092011,107.31,21.41,29.06
9122011,108,21.93,29.37
9132011,108.99,22.17,29.44
9142011,110.5,22.47,29.72
9152011,112.41,22.93,30.63
9162011,113.07,22.71,30.29
9192011,111.95,22.14,29.44
9202011,111.82,22.45,29.22
9212011,108.52,21.58,27.49
9222011,105.01,21.09,26.52
9232011,105.65,21.56,26.81
9262011,108.16,22.56,28.68
9272011,109.37,22.72,28.6
9282011,107.14,22.25,27.61
9292011,107.98,22.74,28.44
9302011,105.28,21.95,27.29
10032011,102.29,21.1,25.96
10042011,104.53,22.03,27.66
10052011,106.47,22.3,28.19
10062011,108.39,23.09,29.59
10072011,107.67,22.33,28.06
10102011,111.27,23.78,29.52
10112011,111.38,23.71,29.52
10122011,112.36,24.53,30.34
10132011,112.13,23.77,28.88
10142011,114.05,24.27,29.15
10172011,111.87,22.22,28.37
10182011,114.06,23.54,30.04
10192011,112.71,22.92,29.48
10202011,113.2,23.44,30.28
10212011,115.35,23.95,30.55
10242011,116.77,24.14,31.6
10252011,114.5,23.25,30.61
10262011,115.66,23.44,31.24
10272011,119.69,24.64,33.84
10282011,119.66,24.65,33.53
10312011,116.78,23.58,31.77
11012011,113.52,22.54,29.9
11022011,115.37,23.17,30.75
11032011,117.47,23.6,31.42
11042011,116.76,23.23,31.05
11072011,117.48,23.25,31.29
11082011,118.99,24.26,32.01
11092011,114.6,22.85,29.74
11102011,115.68,22.94,29.92
11112011,117.85,23.46,30.42
11142011,116.74,22.96,29.75
11152011,117.32,23.13,29.89
11162011,115.45,22.81,28.76
11172011,113.62,22.56,27.87
11182011,113.5,22.58,27.99
11212011,111.34,22.11,27.34
11222011,110.9,21.89,26.88
11232011,108.46,21.23,25.94
11252011,108.25,21.5,26.03
11282011,111.39,22.09,26.65
11292011,111.7,22.02,26.1
11302011,116.3,23.65,28.31
12012011,116.28,23.45,27.84
12022011,116.18,23.84,29.55
12052011,117.45,24.45,30.63
12062011,117.48,24.37,30.37
12072011,117.92,24.74,31.08
12082011,115.33,23.95,29.45
12092011,117.29,24.61,30.33
12122011,115.58,24.04,29.28
12132011,114.5,23.59,28.6
12142011,113.28,23.65,28.8
12152011,113.69,23.42,29.03
12162011,113.85,23.76,29.15
12192011,112.64,23.15,28.06
12202011,116.05,24.24,29.44
12212011,116.27,24.59,29.54
12222011,117.3,24.92,30.57
12232011,118.35,25.42,30.68
12272011,118.44,25.25,30.19
12282011,116.89,24.79,29.84
12292011,118.1,25.39,30.55
12302011,117.52,25.2,30.39
1032012,119.39,26,31.97
1042012,119.58,26.12,32.17
1052012,119.89,26.54,32.85
1062012,119.59,26.47,32.55
1092012,119.88,26.8,32.5
1102012,120.92,26.9,33.19
1112012,120.98,27.09,33.75
1122012,121.27,27.08,33.92
1132012,120.64,27.08,33.07
1172012,121.11,27.28,32.14
1182012,122.45,27.66,33.64
1192012,123.1,27.57,34
1202012,123.56,27.93,34.39
1232012,123.24,28.28,34.67
1242012,123.1,27.93,34.67
1252012,124.13,27.62,34.61
1262012,123.49,26.57,34.51
1272012,123.43,27.07,34.25
1302012,123.01,26.75,34.07
1312012,122.97,26.71,34.34
2012012,124.04,27.45,34.61
2022012,124.24,27.46,34.57
2032012,125.98,28.13,35.24
2062012,125.9,27.73,35.11
2072012,126.22,27.79,34.86
2082012,126.59,28.13,35.26
2092012,126.75,28.08,34.85
2102012,125.81,27.79,34.62
2132012,126.75,28.12,35.26
2142012,126.59,27.94,34.91
2152012,126,27.71,34.43
2162012,127.4,27.89,34.98
2172012,127.73,28.55,35.41
2212012,127.79,28.43,35.4
2222012,127.38,28.09,35.05
2232012,127.94,28.15,35.43
2242012,128.22,27.71,35.24
2272012,128.43,28.5,35.96
2282012,128.81,28.81,36.1
2292012,128.3,28.73,36.12
3012012,128.97,28.96,37.16
3022012,128.57,28.72,37.4
3052012,128.05,28.44,37.19
3062012,126.18,27.65,36.2
3072012,127.06,27.93,36.78
3082012,128.32,28.84,37.23
3092012,128.82,29.07,37.77
3122012,128.83,28.94,37.32
3132012,131.15,30.61,39.94
3142012,131.01,30.64,40.12
3152012,131.77,31.29,41.15
3162012,131.95,31.12,41.03
3192012,132.47,31.45,41.43
3202012,132.08,31.52,41.78
3212012,131.87,31.24,41.54
3222012,130.92,30.73,41.1
3232012,131.34,30.88,41.57
3262012,133.18,31.67,42.5
3272012,132.77,31.31,42.24
3282012,132.11,31.75,42.59
3292012,131.88,31.26,42.04
3302012,132.43,31.44,42.33
4022012,133.4,31.78,42.47
4032012,132.85,31.76,42.09
4042012,131.54,31.2,41.15
4052012,131.47,31.07,41.09
4092012,129.99,30.78,40.67
4102012,127.81,30.32,39.81
4112012,128.85,30.96,40.78
4122012,130.53,31.33,41.55
4132012,128.98,30.25,40.04
4162012,128.89,30.53,40.15
4172012,130.8,31.02,40.68
4182012,130.36,30.92,40.11
4192012,129.52,30.5,40.05
4202012,129.74,30.39,39.58
4232012,128.65,30.11,39.7
4242012,129.14,30.46,40.1
4252012,130.91,30.72,39.99
4262012,131.82,31.17,40.58
4272012,132.04,31.1,40.16
4302012,131.55,30.78,39.82
5012012,132.36,31.4,40.58
5022012,131.97,31.12,40.03
5032012,130.96,30.95,39.85
5042012,128.85,30.62,38.69
5072012,128.94,31.05,38.71
5082012,128.42,30.73,38.34
5092012,127.66,30.25,37.66
5102012,127.93,30.77,37.75
5112012,127.54,30.88,34.25
5142012,126.13,30.04,33.16
5152012,125.4,29.89,33.58
5162012,124.92,29.64,32.86
5172012,123.07,29.15,31.44
5182012,122.02,28.68,31.03
5212012,124.12,29.11,30.12
5222012,124.33,29.36,31.51
5232012,124.4,29.42,31.75
5242012,124.64,29.49,31.48
5252012,124.24,29.53,31.04
5292012,125.74,29.9,31.16
5302012,123.92,29.39,30.54
5312012,123.65,29.71,30.72
6012012,120.53,27.96,29.59
6042012,120.48,27.86,28.72
6052012,121.39,28.29,29.64
6062012,124.12,28.71,30.64
6072012,124.19,28.9,30.4
6082012,125.18,29.14,31.21
6112012,123.59,28.73,30.41
6122012,125.01,29.02,31.29
6132012,124.21,29.27,31.78
6142012,125.53,29.69,32.11
6152012,126.81,30.08,32.46
6182012,127.06,30.09,32.08
6192012,128.29,30.55,32.78
6202012,128.08,30.42,33.77
6212012,125.2,29.98,32.9
6222012,126.17,30.42,33.35
6252012,124.14,29.87,32.73
6262012,124.77,29.97,33.09
6272012,125.89,30.34,34.08
6282012,125.53,30.11,33.25
6292012,128.66,31,33.11
7022012,129.05,31.1,33.62
7032012,129.9,31.04,33.52
7052012,129.32,30.71,32.12
7062012,128.09,30.64,31.67
7092012,127.93,30.83,31.73
7102012,126.81,30.56,32
7112012,126.83,30.84,32.32
7122012,126.22,30.45,31.8
7132012,128.33,31.43,33.7
7162012,128.03,31.54,32.79
7172012,128.91,31.63,32.69
7182012,129.86,31.48,32.66
7192012,130.2,31.66,32.2
7202012,129.01,31.34,31.67
7232012,127.71,31,32.18
7242012,126.61,30.8,32.45
7252012,126.64,30.74,32.86
7262012,128.73,31.31,33.46
7272012,131.1,31.66,34.47
7302012,131.1,31.48,33.77
7312012,130.19,31.34,33.64
8012012,130.07,31.43,33.64
8022012,129.17,30.91,32.86
8032012,131.74,31.83,33.72
8062012,131.99,31.52,33.92
8072012,132.65,31.48,34.58
8082012,132.81,31.56,34.72
8092012,132.93,31.56,34.49
8102012,133.14,31.57,34.54
8132012,133.08,31.69,34.56
8142012,133.1,31.69,34.66
8152012,133.25,31.7,34.64
8162012,134.23,31.85,34.66
8172012,134.41,31.75,34.55
8202012,134.42,31.79,34.92
8212012,134.01,32.08,35.54
8222012,134.07,31.89,35.35
8232012,132.97,31.65,34.78
8242012,133.78,31.76,34.73
8272012,133.81,31.74,34.78
8282012,133.67,31.82,34.69
8292012,133.78,31.79,34.85
8302012,132.81,31.6,34.48
8312012,133.45,31.75,34.7
9042012,133.32,31.54,34.58
9052012,133.21,31.49,34.67
9062012,135.91,32.51,36.15
9072012,136.44,32.66,36.72
9102012,135.67,32.27,36.21
9112012,136.05,31.86,37
9122012,136.5,32.03,37.3
9132012,138.58,33.17,38.68
9142012,139.19,33.71,38.84
9172012,138.72,32.96,38.48
9182012,138.61,33.07,38.55
9192012,138.68,32.89,38.62
9202012,138.69,32.84,38.54
9212012,138.64,32.63,38.19
9242012,138.43,32.75,38.52
